item,reason,report_id,utility,event_year,field,question,options,answer,confidence,page_refs,document_url,detail
62,no_matching_page,sdge__sdge_de_energization_report_jan_27_29_2018,SDG&E,2018,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,
63,no_matching_page,sdge__sdge_de_energization_report_jan_27_29_2018,SDG&E,2018,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,
64,no_matching_page,sdge__sdge_de_energization_report_nov_89_2018,SDG&E,2018,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report_nov-89-2018.pdf,
65,no_matching_page,sdge__sdge_de_energization_report_oct_15_16_2018,SDG&E,2018,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-15-16-2018.pdf,
66,no_matching_page,sdge__sdge_de_energization_report_oct_20_21_2017,SDG&E,2017,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-20-21-2017.pdf,
67,no_matching_page,sdge__sdge_de_energization_report_oct_20_21_2017,SDG&E,2017,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-20-21-2017.pdf,
68,no_matching_page,sdge__sdge_de_energization_report_oct_20_21_2017,SDG&E,2017,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-20-21-2017.pdf,
69,no_matching_page,sdge__sdge_de_energization_report_sept_21_22_2017,SDG&E,2017,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-sept-21-22--2017.pdf,
70,no_matching_page,sdge__sdge_de_energization_report_sept_21_22_2017,SDG&E,2017,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-sept-21-22--2017.pdf,
71,no_matching_page,sdge__sdge_de_energization_report_sept_21_22_2017,SDG&E,2017,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-sept-21-22--2017.pdf,
72,no_matching_page,sdge__sdgedeenergizationreportoct23252017,SDG&E,2017,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdgedeenergizationreportoct23252017.pdf,
73,no_matching_page,sdge__sdgedeenergizationreportoct23252017,SDG&E,2017,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdgedeenergizationreportoct23252017.pdf,
74,no_matching_page,sdge__sdgedeenergizationreportoct23252017,SDG&E,2017,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdgedeenergizationreportoct23252017.pdf,
75,low_confidence,sce__sce_nov_9_2025_psps_post_event_report,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_met,0.13,8;9;10;11;12;13;16;39,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-nov-9-2025-psps-post-event-report.pdf,
76,low_confidence,pge__pge_october_14_16_2021_psps_post_event_report,PG&E,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.21,7;8;9;38;41;42;47;48,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-14-16-2021-psps-post-event-report.pdf,
77,low_confidence,sce__sce_psps_post_event_report_7_11_2023_event,SCE,2023,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,not_stated,0.21,8;9;19;20;24;26;27;28,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/sce-psps-post-event-report-7-11-2023-event.pdf,
78,low_confidence,sce__sce_oct_16_2020_psps_post_event_report,SCE,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.22,38,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-16-2020-psps-post-event-report.pdf,
79,low_confidence,sce__sce_psps_postevent_report_nov_1517_2019_1222019,SCE,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_met,0.24,3;4;5;7;9;11;13,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-nov-1517-2019-1222019.pdf,
80,low_confidence,pge__pge_psps_report_letter_june_7_9_2019,PG&E,2019,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,not_stated,0.25,6;7;26;27,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-june-79-2019-amended.pdf,
81,low_confidence,pge__pge_sept_7_10_2020_psps_post_event_report,PG&E,2020,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.25,2;3;8;9;12;13;14;150,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-sept-7-10-2020-psps-post-event-report.pdf,
82,low_confidence,sdge__sdge_de_energization_report_nov_11_16_2018,SDG&E,2018,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.25,2;3;18;51;52;55;58;60,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-nov-11-16-2018.pdf,
83,low_confidence,sce__r1812005_sce_psps_post_event_for_july_19_2024_high_threat,SCE,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_met,0.28,9;10;11;12;13;14;19;62,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-for-july-19-2024-high-threat.pdf,
84,low_confidence,sce__sce_october_16_18_2021_psps_post_event_report,SCE,2021,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,not_stated,0.28,3;5;6;7;14;28;29,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-october-16-18-2021-psps-post-event-report.pdf,
85,low_confidence,sce__r1812005sce_psps_post_event_report_for_61424_high_threat_event,SCE,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_met,0.29,8;9;10;11;13;17;30;55,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-post-event-report-for-61424-high-threat-event.pdf,
86,low_confidence,sce__sce_psps_postevent_reportaug_310_2019_8222019,SCE,2019,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,not_stated,0.29,3;4;10;11,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportaug-310-2019-8222019.pdf,
87,low_confidence,sdge__sdge_de_energization_report_dec_14_15_2017,SDG&E,2017,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,not_stated,0.29,4;5,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-14-15-2017.pdf,
88,low_confidence,sce__nov_24_28_2020_sce_psps_post_event_report,SCE,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.3,3;4;16;17;18;50,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/nov-24-28-2020-sce-psps-post-event-report.pdf,
89,low_confidence,sce__sce_psps_postevent_reportaug_1217_2019_8302019,SCE,2019,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,zero,0.3,3;4;9;10,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportaug-1217-2019-8302019.pdf,
90,low_confidence,sdge__sdge_de_energization_report_jan_27_29_2018,SDG&E,2018,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.3,4;6,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,
91,low_confidence,pge__pge_psps_report_letter_june_7_9_2019,PG&E,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.31,6;7;8;9;27;28,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-june-79-2019-amended.pdf,
92,low_confidence,pge__r1812005pge71526_psps_postevent_report073026,PG&E,2026,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.31,7;8;10;31;39;40;94;95,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge71526-psps-postevent-report073026.pdf,
93,low_confidence,sce__r1812005_sce_psps_post_event_for_may_22_2025_high_threat,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.31,8;9;10;11;12;81;82;85,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-may-22-2025-high-threat.pdf,
94,low_confidence,sce__r1812005sce_psps_postevent_for_november_4_2024_deenergization,SCE,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.31,8;9;10;21;26;27;42;45,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-4-2024-deenergization.pdf,
95,low_confidence,sce__r1812005_sce_psps_post_event_report_for_11_24_22_de_energization_event,SCE,2022,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.32,8;9;10;21;22;29;30;38,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/r1812005-sce-psps-post-event-report-for-11-24-22-de-energization-event.pdf,
96,low_confidence,sdge__sdge_de_energization_report_jan_27_29_2018,SDG&E,2018,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.33,2;3;6,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,
97,low_confidence,pge__r1812005_pge06192025_psps_post_event_report_072125,PG&E,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.34,4;5;7;23;27;34;67;68,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005--pge06192025-psps-post-event-report_072125.pdf,
98,low_confidence,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,SCE,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.34,8;9;10;22;23;28;29;50,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-12-9-23-de-energization-event.pdf,
99,low_confidence,sce__sce_psps_post_event_report_for_06_15_22,SCE,2022,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_met,0.35,8;9;10;11;13;14;18;19,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/sce-psps-post-event-report-for-06-15-22.pdf,
100,low_confidence,sdge__sdge_post_event_psps_report_october_20november_1_0,SDG&E,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.35,3;4;5;6;7;515;529;545,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sdge-post-event-psps-report_october-20november-1_0.pdf,
101,low_confidence,sce__2020_11_29_sce_psps_post_event_report_final,SCE,2020,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.36,3;4;26;27;28;59,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/2020-11-29-sce-psps-post-event-report-final.pdf,
102,low_confidence,sce__20241217sce_psps_post_event_reportdeenergized_final,SCE,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.36,5;6;7;18;23;24;31;42,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/20241217sce-psps-post-event-reportdeenergized-final.pdf,
103,low_confidence,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,SCE,2025,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.36,7;8;9;10;11;12;17;54,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf,
104,low_confidence,sce__r1812005_sce_psps_post_event_for_july_26_2024_high_threat,SCE,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.37,9;10;11;13;18;60;61;64,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-for-july-26-2024-high-threat.pdf,
105,low_confidence,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,SCE,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.37,7;8;19;20;26;27;35;47,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-postevent-report-for-11092023-deenergization-event.pdf,
106,low_confidence,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,some_not_notified,0.38,8;9;10;19;24;25;41;42,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf,
107,low_confidence,sce__r1812005sce_psps_postevent_report_for_july_15_2026_deenergization,SCE,2026,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,not_stated,0.38,8;9;10;11;12;13;16;91,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-postevent-report-for-july-15-2026-deenergization.pdf,
108,low_confidence,sce__sce_apr_1213_2021psps_post_event_report,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,not_stated,0.38,9;34,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-apr-1213-2021psps-post-event-report.pdf,
109,low_confidence,sdge__sdge_de_energization_report_dec_14_15_2017,SDG&E,2017,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.38,2;3;6;11;22;23;42;78,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-14-15-2017.pdf,
110,low_confidence,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.39,7;8;9;18;23;24;30;48,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf,
111,low_confidence,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,SCE,2025,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.4,8;9;10;19;20;24;25;41,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf,
112,low_confidence,sce__sce_october_11_2021_psps_post_event_report,SCE,2021,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.4,9;10;21;22;26;27;75;79,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-october-11-2021-psps-post-event-report.pdf,
113,low_confidence,sdge__sdge_de_energization_report_dec_4_2017,SDG&E,2017,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,met,0.41,2;3;8;20;31;32;51;87,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-4-2017.pdf,
114,low_confidence,sce__r1812005sce_psps_postevent_for_november_20_2024_deenergization,SCE,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.42,8;9;10;20;21;26;27;42,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-20-2024-deenergization.pdf,
115,low_confidence,sce__sce_esrb_8_report_regarding_october_12_through_october_16_2018,SCE,2018,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,one_or_more,0.42,9;10,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-october-12-through-october-16-2018.pdf,
116,low_confidence,sce__sce_psps_postevent_reportaug_1217_2019_8302019,SCE,2019,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,zero,0.42,3;4;9;10,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportaug-1217-2019-8302019.pdf,
117,low_confidence,sdge__r1812005_sdge_psps_postevent_report_dec_911_2024_1_10_2025,SDG&E,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.42,6;7;8;45;46;76;110;111,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,
118,low_confidence,sce__r1812005_sce_psps_post_event_report_for_9_7_24_de_energization_event,SCE,2024,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,all_notified,0.43,8;9;10;22;23;27;28;45,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-report-for-9-7-24-de-energization-event.pdf,
119,low_confidence,sce__2021614sce_post_event_report_final,SCE,2021,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,zero,0.44,3;4;5;12;13,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/documents/2021614sce-post-event-report-final.pdf,
